generation,populationSize,invalidInds,localBest,localBestInd,localBestFit,fitnessAvg,fitnessStdDev,genomeSizeAvg,effectiveGenomeSizeAvg,top10PercEffectiveGenomeSizeAvg,top10PercFitnessAvg,top10PercFitnessStdDev
0,200,69,(x)*(x),"[59,42,218,147,96,38,64,226,249,216,52,19,236,250,220,102,211,186,127,224,200,102,102,161,25,239,4,220,201,109,227,31,120,136,207,57,48,141,16,155,56,120,233,87,163,57,41,84,223,65,181,49,167,184,159,223,0,189,130,217,216,117,133,242,110,166,90,238,140,23,46,118,90,98,97,178,121,6,86,27,210,118,74,40,26,69,75,111,228,194,222,80,145,157,12,127,116,58,41,100,185,161,8,194,78,43,241,119,56,248,139,117,6,29,4,172,20,181,189,160]",461.6550397009477,1167.6527404395258,6109.819743017564,120.0,3.786259541984733,6.4,574.2053928249526,3190.76764538036
1,200,24,(x)*(x),"[158,81,86,66,186,179,176,68,186,207,149,246,83,211,146,135,135,43,46,133,228,70,117,242,113,212,204,159,137,183,241,82,20,15,31,219,231,240,193,8,188,129,217,110,77,112,91,39,138,115,219,95,16,136,75,147,26,243,128,137,33,38,195,95,118,107,80,148,125,173,225,239,53,78,159,46,156,76,108,211,52,154,121,85,184,190,35,173,170,82,192,142,17,70,185,113,227,121,133,83,17,63,88,93,66,61,88,58,191,157,143,39,167,196,174,179,178,165,115,254]",461.6550397009477,617.0179315048164,43.761261961665156,110.89204545454545,4.170454545454546,3.6,524.2743981301215,2233.446327009272
2,200,19,abs(x),"[40,121,207,33]",444.6178018233362,583.4135735590105,63.19000449166404,105.97790055248619,5.679558011049724,3.8,457.3510997010529,54.08280678692478
3,200,22,(x)*(x),"[104,186,38,33]",345.6550397009477,527.7280567624766,82.1044432588931,96.67415730337079,4.53932584269663,3.6,421.6862045500082,1930.5521889982094
4,200,32,(x)*(x),"[59,42,218,33]",345.6550397009477,497.1180236045913,121.90009473785881,84.27380952380952,4.2023809523809526,4.05,380.54200644378375,2211.119451896614
5,200,36,(x)*(x),"[59,42,218,33]",345.6550397009477,900.3913236368464,5468.615913797049,62.176829268292686,4.304878048780488,4.4,345.70503970094774,4.750000000000003e-2
6,200,47,(x)*(x),"[104,186,38,33]",345.6550397009477,492.41812335546524,826.884872956556,31.575163398692812,4.411764705882353,4.0,345.6550397009477,0.0
7,200,36,(x)*(tan(x)),"[59,42,218,196]",279.55555555555554,401.63089111574715,99.60092365710413,23.951219512195124,4.073170731707317,4.1,342.35006549367813,207.53423570363026
8,200,24,(x)*(tan(x)),"[59,186,218,196]",279.55555555555554,384.71057483813496,96.05338155814138,16.551136363636363,4.113636363636363,4.2,339.04509128640854,393.2227623858257
9,200,15,(x)*(tan(x)),"[59,42,218,196]",279.55555555555554,377.71575157505697,92.52697805837612,17.794594594594596,4.005405405405406,4.8,319.2152460427909,1048.5940330288688
