generation,populationSize,invalidInds,localBest,localBestFit,fitnessAvg,fitnessStdDev,exprDepthAvg,top10PercExprDepthAvg,top10PercFitnessAvg,top10PercFitnessStdDev
0,200,133,cos(x),24.244859776630253,63.27013057442989,46.57211656863254,2.8656716417910446,3.95,29.52743226190963,9.004697579811271
1,200,56,sin((x)+(x)),22.283374275227192,46.54000727253268,30.672719960206862,3.111111111111111,3.25,26.03383125807705,5.7762107385832255
2,200,30,sin((x)+(x)),22.283374275227192,33.44586330386609,10.132693836967887,3.0764705882352943,2.15,23.9506369514198,0.49054673495733825
3,200,27,sin((x)+(x)),22.283374275227192,28.929763880633008,8.93005888828502,2.9421965317919074,2.45,23.362191300998866,0.9522377796230682
4,200,29,sin((x)+(x)),22.283374275227192,27.286111082336916,15.285216879400858,2.3625730994152048,3.0,22.28337427522719,1.262177448353619e-29
5,200,25,sin((x)+(x)),22.283374275227192,30.505180974518716,41.42919336312171,2.525714285714286,3.0,22.28337427522719,1.262177448353619e-29
6,200,29,sin((abs(abs(x)))+(x)),17.197417020179053,25.496441462967415,21.980400798068686,2.8947368421052633,3.1,22.029076412474783,1.2286806570083983
7,200,29,sin((abs(abs(x)))+(x)),17.197417020179053,24.789125812832456,8.53975597787003,3.0994152046783627,3.2,21.774778549722377,2.3280265080159124
8,200,21,sin((abs(abs(x)))+(x)),17.197417020179053,45.53678564479454,227.73719388812958,3.0726256983240225,3.5,21.011884961465157,4.8500552250331515
9,200,20,sin((abs(abs(x)))+(x)),17.197417020179053,27.48983877300766,26.704437485377234,3.2777777777777777,4.9,17.451714882931455,1.2286806570083972
10,200,22,sin((abs(abs(x)))+(x)),17.197417020179053,26.4290610646539,24.644830990460935,3.5842696629213484,5.0,17.19741702017905,1.262177448353619e-29
11,200,26,sin((abs(abs(x)))+(x)),17.197417020179053,21.937335790792684,13.570356918799225,4.402298850574713,5.0,17.19741702017905,1.262177448353619e-29
12,200,31,sin((abs(abs(x)))+(x)),17.197417020179053,21.23373435979106,11.781419580424373,4.674556213017752,5.0,17.19741702017905,1.262177448353619e-29
13,200,23,sin((abs(abs(x)))+(x)),17.197417020179053,20.93088246429897,14.043918109852559,4.80225988700565,5.0,17.19741702017905,1.262177448353619e-29
14,200,26,sin((abs(abs(x)))+(x)),17.197417020179053,21.48042699286459,12.27988567759442,4.827586206896552,5.0,17.19741702017905,1.262177448353619e-29
15,200,26,sin((abs(abs(x)))+(x)),17.197417020179053,21.04398914835648,14.65112255561221,4.85632183908046,5.0,17.19741702017905,1.262177448353619e-29
16,200,25,sin((abs(x))+(x)),17.18741702017905,21.390375839101228,15.37796450218928,4.862857142857143,4.95,17.19691702017905,4.750000000001486e-6
17,200,24,sin((abs(x))+(x)),17.18741702017905,21.465817884571177,16.710897050133738,4.846590909090909,4.85,17.19591702017905,1.2750000000003986e-5
18,200,28,sin((abs(x))+(x)),17.18741702017905,19.893681137935232,7.641912674031265,4.854651162790698,4.65,17.19391702017905,2.2750000000007116e-5
19,200,21,sin((abs(x))+(x)),17.18741702017905,22.847680623172213,18.271243334768947,4.653631284916201,4.0,17.18741702017905,0.0
20,200,27,sin((abs(x))+(x)),17.18741702017905,19.857278257904944,9.210076651511821,4.4393063583815024,4.0,17.18741702017905,0.0
21,200,23,sin((abs(x))+(x)),17.18741702017905,20.653452686765174,9.21351541766768,4.062146892655368,4.0,17.18741702017905,0.0
22,200,26,sin((abs(x))+(x)),17.18741702017905,22.462110278735977,33.67456427536806,3.9597701149425286,4.0,17.18741702017905,0.0
23,200,30,sin((abs(x))+(x)),17.18741702017905,20.04640254772444,10.733530059730143,3.9941176470588236,4.0,17.18741702017905,0.0
24,200,28,sin((abs(x))+(x)),17.18741702017905,22.1223676074622,23.594220889446916,3.9825581395348837,4.0,17.18741702017905,0.0
25,200,26,sin((abs(x))+(x)),17.18741702017905,21.97111732689831,18.77200856605439,3.925287356321839,4.0,17.18741702017905,0.0
26,200,22,sin((abs(x))+(x)),17.18741702017905,738.996369609616,9564.98461808589,3.8707865168539324,4.0,17.18741702017905,0.0
27,200,33,sin((abs(x))+(x)),17.18741702017905,20.77074234638969,14.462498208444526,3.92814371257485,4.0,17.18741702017905,0.0
28,200,31,sin((abs(x))+(x)),17.18741702017905,22.145435753615786,19.550588098642542,3.8520710059171597,4.0,17.18741702017905,0.0
29,200,23,sin((abs(x))+(x)),17.18741702017905,21.63844088780232,13.237254090844486,3.864406779661017,4.0,17.18741702017905,0.0
30,200,27,sin((abs(x))+(x)),17.18741702017905,40.065483134882044,231.93512720126333,3.976878612716763,4.0,17.18741702017905,0.0
31,200,27,sin((abs(x))+(x)),17.18741702017905,32.883638416413255,155.9457460604781,3.9364161849710984,4.0,17.18741702017905,0.0
32,200,19,sin((abs(x))+(x)),17.18741702017905,22.839444383938837,23.786050233158438,3.9005524861878453,4.0,17.18741702017905,0.0
33,200,25,sin((abs(x))+(x)),17.18741702017905,20.810811674182503,9.808540049502309,3.834285714285714,4.0,17.18741702017905,0.0
34,200,30,sin((abs(x))+(x)),17.18741702017905,23.03727649751607,24.942273872767675,3.9176470588235293,4.0,17.18741702017905,0.0
35,200,26,sin((abs(x))+(x)),17.18741702017905,21.482697507399216,20.627269024756057,3.9655172413793105,4.0,17.18741702017905,0.0
36,200,26,sin((abs(x))+(x)),17.18741702017905,20.386397733248188,13.598930299750178,3.913793103448276,4.0,17.18741702017905,0.0
37,200,26,sin((abs(x))+(x)),17.18741702017905,19.499712338122254,8.54431227824869,3.9482758620689653,4.0,17.18741702017905,0.0
38,200,29,sin((abs(x))+(x)),17.18741702017905,23.918432555631306,34.63292540691663,3.9590643274853803,4.0,17.18741702017905,0.0
39,200,27,sin((abs(x))+(x)),17.18741702017905,22.100951159367785,23.25096318228041,3.9653179190751446,4.0,17.18741702017905,0.0
40,200,25,sin((abs(x))+(x)),17.18741702017905,22.011590180035444,22.025614578992798,4.034285714285715,4.0,17.18741702017905,0.0
41,200,19,sin((abs(x))+(x)),17.18741702017905,22.212652023992224,16.387524603323175,3.7900552486187844,4.0,17.18741702017905,0.0
42,200,27,sin((abs(x))+(x)),17.18741702017905,22.62954268262886,25.821439867471007,4.144508670520231,4.0,17.18741702017905,0.0
43,200,26,sin((abs(x))+(x)),17.18741702017905,20.30508831482829,11.495875970542315,4.022988505747127,4.0,17.18741702017905,0.0
44,200,23,sin((abs(x))+(x)),17.18741702017905,20.211070984106094,9.176470629709558,4.0,4.0,17.18741702017905,0.0
45,200,29,sin((abs(x))+(x)),17.18741702017905,19.188041077281273,6.394807636872517,4.017543859649122,4.0,17.18741702017905,0.0
46,200,37,sin((abs(x))+(x)),17.18741702017905,20.77091599451795,20.072593972992138,3.9693251533742333,4.0,17.18741702017905,0.0
47,200,25,sin((abs(x))+(x)),17.18741702017905,39.31235699612394,228.58197714551216,4.005714285714285,4.0,17.18741702017905,0.0
48,200,32,sin((abs(x))+(x)),17.18741702017905,20.574904855981817,17.871994257961394,3.9345238095238093,4.0,17.18741702017905,0.0
49,200,28,sin((abs(x))+(x)),17.18741702017905,20.935524534578786,14.30014058198882,3.9186046511627906,4.0,17.18741702017905,0.0
50,200,38,sin((abs(x))+(x)),17.18741702017905,20.722443459914132,13.43439077781839,3.993827160493827,4.0,17.18741702017905,0.0
51,200,30,sin((abs(x))+(x)),17.18741702017905,22.917701083693363,40.24789579875226,3.9352941176470586,4.0,17.18741702017905,0.0
52,200,22,sin((abs(x))+(x)),17.18741702017905,20.476651139827634,9.386193756257981,3.9101123595505616,4.0,17.18741702017905,0.0
53,200,29,sin((abs(x))+(x)),17.18741702017905,20.80275794779135,13.580973623869548,3.9707602339181287,4.0,17.18741702017905,0.0
54,200,24,sin((abs(x))+(x)),17.18741702017905,22.206605797290834,21.160630763545893,3.9204545454545454,4.0,17.18741702017905,0.0
55,200,29,sin((abs(x))+(x)),17.18741702017905,19.691567924948604,10.8593687244641,3.935672514619883,4.0,17.18741702017905,0.0
56,200,30,sin((abs(x))+(x)),17.18741702017905,20.11781582525428,9.81347477569401,4.0058823529411764,4.0,17.18741702017905,0.0
57,200,21,sin((abs(x))+(x)),17.18741702017905,21.138976897584595,16.32331199995568,3.9497206703910615,4.0,17.18741702017905,0.0
