generation,populationSize,invalidInds,localBest,localBestInd,localBestFit,fitnessAvg,fitnessStdDev,genomeSizeAvg,effectiveGenomeSizeAvg,top10PercEffectiveGenomeSizeAvg,top10PercFitnessAvg,top10PercFitnessStdDev
0,200,85,abs((x)+(x)),"[64,76,38,180,252,165,90,24,81,225,221,134,200,86,223,5,73,126,141,92,97,136,11,152,23,5,60,7,35,52,98,219,178,248,72,128,124,99,142,249,101,128,227,204,39,115,99,213,89,120,255,52,8,150,171,145,77,107,115,83,33,134,62,241,141,124,80,12,237,21,209,48,45,231,19,178,172,254,8,165,166,76,126,145,190,27,244,81,137,113,245,94,135,118,97,34,217,144,26,226,11,109,246,14,20,30,117,17,60,145,103,151,182,243,3,187,245,92,2,227]",512.3444355479951,632.2475656161437,63.989216396309445,120.0,2.5043478260869567,4.9,602.1327565712362,1415.4486729313371
1,200,22,abs((x)+(x)),"[232,1,227,252,72,27,209,21,243,81,194,214,247,127,11,119,161,150,38,36,117,193,197,186,23,194,243,104,224,95,57,19,79,170,177,253,44,141,167,101,74,4,57,81,15,27,249,11,249,53,60,161,81,59,38,205,84,246,81,46,57,202,243,104,215,196,205,249,162,174,119,3,253,39,188,191,111,40,228,80,65,16,246,15,77,46,126,39,26,14,79,186,240,75,132,179,28,125,176,186,255,156,12,92,225,60,180,162,57,167,203,152,125,120,36,214,223,56,123,234]",512.3444355479951,619.9554080338329,23.912709516756337,116.70786516853933,2.449438202247191,5.2,560.3879234716601,910.1445291091161
2,200,18,abs(x),"[100,246,192,173]",444.6178018233362,597.6453521033811,41.8676702270622,108.74725274725274,4.093406593406593,5.7,507.01116007903073,265.42597213184223
3,200,20,abs((x)+(x)),"[73,1,227,252,72,27,209]",399.3444355479951,561.9862606046535,56.81417839520638,100.86111111111111,4.2,4.8,456.0185294676576,871.8222528341657
4,200,22,abs((x)+(x)),"[232,1,227,252,72,27,209]",399.3444355479951,511.5783789352822,63.54507562298939,68.30337078651685,4.393258426966292,4.65,419.7174503718987,507.29522924054584
5,200,17,abs((x)+(x)),"[142,211,227,252,72,27,209]",399.3444355479951,476.98231091973184,72.54316091941831,38.46448087431694,4.120218579234972,6.0,399.3444355479951,0.0
6,200,20,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,450.1295328505208,77.11119102809191,25.166666666666668,4.988888888888889,6.1,396.6599657556427,136.921183254995
7,200,17,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,437.6379980061327,76.87462284760181,22.240437158469945,5.398907103825136,6.3,391.291026170938,367.5252813686707
8,200,15,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,431.0634460140992,77.77258719066734,20.275675675675675,5.583783783783784,6.7,380.55314700152854,655.7804040107652
9,200,17,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,425.94511710018537,74.2206551940831,19.005464480874316,5.863387978142076,7.4,361.761858455062,605.3357575483986
10,200,25,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,435.2601949837262,85.58173294576936,18.617142857142856,5.6,8.0,345.6550397009477,0.0
11,200,28,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,420.2413082179353,83.87206838718369,17.622093023255815,5.936046511627907,8.0,345.6550397009477,0.0
12,200,22,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,465.3317180245056,768.3847404874059,16.910112359550563,6.876404494382022,8.0,345.6550397009477,0.0
13,200,18,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,386.08927637815293,90.22141112375357,16.87912087912088,7.21978021978022,8.0,345.6550397009477,0.0
14,200,20,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,380.2985841853379,87.04917094637203,15.633333333333333,7.444444444444445,8.0,345.6550397009477,0.0
15,200,20,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,373.8014967446277,81.73509707749527,13.666666666666666,7.383333333333334,8.0,345.6550397009477,0.0
16,200,13,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,407.81613064731766,395.9793139211991,17.02673796791444,7.748663101604278,8.0,345.6550397009477,0.0
17,200,17,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,373.7258986799203,84.67074321529984,15.40983606557377,7.672131147540983,8.0,345.6550397009477,0.0
18,200,17,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,443.2917411302673,764.2741685780168,17.94535519125683,7.73224043715847,8.0,345.6550397009477,0.0
19,200,19,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,379.9496084907465,97.41426771035016,16.81767955801105,7.342541436464089,8.0,345.6550397009477,0.0
20,200,14,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,445.7842748448259,759.7876522301102,17.096774193548388,7.28494623655914,8.0,345.6550397009477,0.0
21,200,17,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,1368.3074760541328,13269.325092613026,16.721311475409838,7.344262295081967,8.0,345.6550397009477,0.0
22,200,13,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,384.2802655891489,92.51265451382353,17.016042780748663,7.213903743315508,8.0,345.6550397009477,0.0
23,200,14,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,379.9633575567947,90.62935524355639,17.72043010752688,7.553763440860215,8.0,345.6550397009477,0.0
24,200,21,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,429.5184688231998,767.3370213640196,15.016759776536313,7.441340782122905,8.0,345.6550397009477,0.0
25,200,16,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,384.7441082665009,106.54113741609967,16.608695652173914,7.2228260869565215,8.0,345.6550397009477,0.0
26,200,16,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,488.66622107528167,1064.7075120322909,16.608695652173914,7.2771739130434785,8.0,345.6550397009477,0.0
27,200,17,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,427.6819320009164,759.0397850852407,14.142076502732241,7.51912568306011,8.0,345.6550397009477,0.0
28,200,14,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,436.0134273243488,754.0714312593364,16.516129032258064,7.376344086021505,8.0,345.6550397009477,0.0
29,200,17,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,371.7712557321808,81.41158667035693,14.775956284153006,7.601092896174864,8.0,345.6550397009477,0.0
30,200,16,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,378.9489049789261,103.18772562447774,16.608695652173914,7.6521739130434785,8.0,345.6550397009477,0.0
31,200,12,(abs(x))*(abs(x)),"[242,202,246,204]",345.6550397009477,380.2230364784275,90.4723721299185,18.19148936170213,7.382978723404255,8.0,345.6550397009477,0.0
32,200,14,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,434.75590400856765,753.6138604208676,17.086021505376344,7.408602150537634,8.0,345.6550397009477,0.0
33,200,20,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,381.2768090552473,107.3522040149357,14.955555555555556,7.416666666666667,8.0,345.6550397009477,0.0
34,200,18,(abs(x))*(abs(x)),"[242,202,246,36]",345.6550397009477,379.6353767944263,89.5245981550329,17.384615384615383,7.335164835164835,8.0,345.6550397009477,0.0
35,200,13,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,385.08035644609623,107.39131283177635,18.25668449197861,7.390374331550802,8.0,345.6550397009477,0.0
36,200,11,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,388.99645025666206,114.40668494467639,19.343915343915345,7.285714285714286,8.0,345.6550397009477,0.0
37,200,20,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,431.69006972787423,767.0749862468347,13.666666666666666,7.455555555555556,8.0,345.6550397009477,0.0
38,200,17,(abs(x))*(abs(x)),"[242,1,246,246]",345.6550397009477,374.9996620042157,97.91175928606565,14.142076502732241,7.6502732240437155,8.0,345.6550397009477,0.0
39,200,14,(abs(x))*(abs(x)),"[242,1,246,36]",345.6550397009477,375.45029281868665,86.03449214462317,16.473118279569892,7.688172043010753,8.0,345.6550397009477,0.0
40,200,14,(abs(x))*(abs(x)),"[62,1,246,204]",345.6550397009477,391.5930430852526,112.02624504763887,19.591397849462364,7.440860215053763,8.0,345.6550397009477,0.0
41,200,14,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,435.28051909663213,753.798155035506,17.72043010752688,7.360215053763441,8.0,345.6550397009477,0.0
42,200,16,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,379.0214964952415,106.93375180322698,15.33695652173913,7.619565217391305,8.0,345.6550397009477,0.0
43,200,11,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,393.71719338816746,151.02845108498516,18.719576719576718,7.470899470899471,8.0,345.6550397009477,0.0
44,200,15,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,388.74513448562317,118.33676441786861,17.794594594594596,7.481081081081081,8.0,345.6550397009477,0.0
45,200,17,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,388.3651647821999,108.33403141255465,17.311475409836067,7.415300546448087,8.0,345.6550397009477,0.0
46,200,10,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,382.6746279201517,95.88785343609685,18.042105263157893,7.221052631578948,8.0,345.6550397009477,0.0
47,200,17,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,383.2393756178022,103.48559605906205,15.40983606557377,7.437158469945355,7.8,345.6550397009477,0.0
48,200,19,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,388.1822549598166,110.045999514154,16.215469613259668,7.331491712707182,8.0,345.6550397009477,0.0
49,200,20,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,432.4111604367235,767.1601169996574,13.666666666666666,7.527777777777778,8.0,345.6550397009477,0.0
50,200,11,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,385.2105811943147,107.7694098715653,18.116402116402117,7.275132275132275,8.0,345.6550397009477,0.0
51,200,14,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,398.10381651676005,146.71472235863698,19.591397849462364,7.17741935483871,8.0,345.6550397009477,0.0
52,200,16,(abs(x))*(abs(x)),"[236,1,246,204]",345.6550397009477,382.6201720196501,104.2722708320258,16.608695652173914,7.320652173913044,8.0,345.6550397009477,0.0
53,200,14,(-(x))*(-(x)),"[242,1,10,204]",345.6550397009477,377.1220064377836,88.60565523307947,16.473118279569892,7.354838709677419,8.0,345.6550397009477,0.0
54,200,12,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,379.7384034936258,90.34042700652836,17.574468085106382,7.4787234042553195,8.0,345.6550397009477,0.0
55,200,14,(abs(x))*(abs(x)),"[242,1,246,18]",345.6550397009477,379.6009790824791,89.62411867494941,16.473118279569892,7.258064516129032,8.0,345.6550397009477,0.0
56,200,17,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,390.03186116059993,132.10696865258996,16.6775956284153,7.66120218579235,8.0,345.6550397009477,0.0
57,200,13,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,389.77732154257,124.06712379978126,17.647058823529413,7.385026737967914,8.0,345.6550397009477,0.0
58,200,15,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,444.2566722300805,758.4540894008435,18.42162162162162,7.367567567567567,8.0,345.6550397009477,0.0
59,200,20,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,383.9792934496967,93.18497302878986,18.822222222222223,7.477777777777778,8.0,345.6550397009477,0.0
60,200,7,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,417.06345225466004,396.9252541458329,20.82901554404145,7.119170984455959,8.0,345.6550397009477,0.0
61,200,15,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,389.31588887434924,147.54065145517058,15.913513513513514,7.702702702702703,8.0,345.6550397009477,0.0
62,200,12,(abs(x))*(abs(x)),"[242,46,246,204]",345.6550397009477,382.29246060418285,109.63537889341241,16.95744680851064,7.590425531914893,8.0,345.6550397009477,0.0
63,200,15,(abs(x))*(abs(x)),"[242,46,246,204]",345.6550397009477,379.88520563721727,93.41078080691035,17.167567567567566,7.572972972972973,8.0,345.6550397009477,0.0
64,200,19,(abs(x))*(abs(x)),"[242,1,246,18]",345.6550397009477,382.7885724780761,91.6779872730945,17.4585635359116,7.298342541436464,8.0,345.6550397009477,0.0
65,200,13,(abs(x))*(abs(x)),"[242,163,246,36]",345.6550397009477,464.35911396929816,843.4187339476215,18.887700534759357,7.53475935828877,8.0,345.6550397009477,0.0
66,200,15,(abs(x))*(abs(x)),"[242,1,246,36]",345.6550397009477,520.2656056235738,1128.971268230455,17.167567567567566,7.92972972972973,8.0,345.6550397009477,0.0
67,200,18,(abs(x))*(abs(x)),"[242,43,246,18]",345.6550397009477,387.6678215936583,135.40940276476246,16.747252747252748,7.5989010989010985,8.0,345.6550397009477,0.0
68,200,16,(abs(x))*(abs(x)),"[242,1,246,36]",345.6550397009477,379.83195151246315,89.85011382851519,17.869565217391305,7.239130434782608,8.0,345.6550397009477,0.0
69,200,11,(abs(x))*(abs(x)),"[242,1,246,204]",345.6550397009477,440.97655756781444,748.1036930649637,19.343915343915345,7.306878306878307,8.0,345.6550397009477,0.0
