generation,populationSize,invalidInds,localBest,localBestFit,fitnessAvg,fitnessStdDev,exprDepthAvg,top10PercExprDepthAvg,top10PercFitnessAvg,top10PercFitnessStdDev
0,200,136,sin((x)+(x)),22.283374275227192,59.35950252627305,47.63577322192612,3.5,3.85,28.871935168723944,10.864136565814157
1,200,67,sin((x)+(x)),22.283374275227192,47.16139897798529,37.41198606305623,3.8496240601503757,3.95,24.35527931276137,1.8382898092495186
2,200,29,sin((x)+(x)),22.283374275227192,35.4486237169821,25.469243222977145,3.6315789473684212,2.75,22.773745650577954,0.7213922572902032
3,200,23,sin((x)+(x)),22.283374275227192,29.186782471437873,18.734780346750345,3.406779661016949,3.0,22.28337427522719,1.262177448353619e-29
4,200,28,sin((x)+(x)),22.283374275227192,28.580227078775263,21.704118894804612,2.9593023255813953,3.0,22.28337427522719,1.262177448353619e-29
5,200,26,sin((x)+(x)),22.283374275227192,31.93798809667862,90.31396064772073,2.8793103448275863,3.0,22.28337427522719,1.262177448353619e-29
6,200,26,sin((x)+(x)),22.283374275227192,31.985289108218897,90.18177355179334,2.9367816091954024,3.0,22.28337427522719,1.262177448353619e-29
7,200,23,sin((x)+(x)),22.283374275227192,25.34963300622163,15.231578972218164,3.016949152542373,3.0,22.28337427522719,1.262177448353619e-29
8,200,29,sin((x)+(x)),22.283374275227192,29.957661100665426,49.56580565985329,2.9941520467836256,3.0,22.28337427522719,1.262177448353619e-29
9,200,31,sin((x)+(x)),22.283374275227192,25.773042103731054,14.79716765127774,3.0414201183431953,3.0,22.28337427522719,1.262177448353619e-29
10,200,19,sin((x)+(x)),22.283374275227192,30.686223287291746,43.50206520970841,2.9613259668508287,3.0,22.28337427522719,1.262177448353619e-29
11,200,30,sin((x)+(abs(abs(x)))),17.197417020179053,23.716312766357476,5.930729388982814,3.1294117647058823,3.1,22.029076412474783,1.2286806570083983
12,200,28,sin((x)+(abs(abs(x)))),17.197417020179053,26.134803556114285,19.393643592036554,2.936046511627907,3.2,21.774778549722377,2.3280265080159124
13,200,23,sin(((x)+(x))+(abs(cos(x)))),15.170213759369569,27.707501391944213,21.789117923387472,3.022598870056497,3.6,20.656226935672276,6.348984461641356
14,200,24,sin(((x)+(x))+(abs(cos(x)))),15.170213759369569,23.966625152793867,8.26624504156583,3.1931818181818183,5.0,17.096056857138574,0.19520377038023878
15,200,23,sin(((x)+(x))+(abs(cos(x)))),15.170213759369569,22.256053983494752,7.6651078745723416,3.8192090395480225,5.0,16.994696694098103,0.3698597754572946
16,200,17,sin(((x)+(x))+(abs(cos(x)))),15.170213759369569,22.45314841720692,14.133656631697669,4.3497267759562845,5.0,16.386535715855256,0.9862927345527857
17,200,26,sin(((x)+(x))+(abs(cos(x)))),15.170213759369569,22.188836953682788,23.20976573859647,4.9655172413793105,5.0,15.17021375936957,3.1554436208840472e-30
18,200,37,sin(((x)+(x))+(abs(cos(x)))),15.170213759369569,18.410592016862854,7.973487653448445,4.840490797546012,5.0,15.17021375936957,3.1554436208840472e-30
19,200,27,sin(((x)+(x))+(abs(cos(x)))),15.170213759369569,20.296271357216007,19.24484089298443,4.809248554913295,5.0,15.17021375936957,3.1554436208840472e-30
20,200,28,sin(((x)+(x))+(abs(cos(x)))),15.170213759369569,21.505721400492714,33.24871724039987,4.8313953488372094,5.0,15.17021375936957,3.1554436208840472e-30
21,200,32,sin((sin(((x)+(x))+(abs(cos(x)))))+(abs(cos(x)))),14.788572701439916,19.406614531074883,20.860340644239272,4.857142857142857,5.1,15.15113170647309,6.918370112139051e-3
22,200,21,sin((sin(((x)+(x))+(abs(cos(x)))))+(abs(cos(x)))),14.788572701439916,20.339469146025014,21.39812493161698,4.983240223463687,5.4,15.093885547783643,2.3303983535626276e-2
23,200,26,sin((sin(((x)+(x))+(abs(cos(x)))))+(abs(cos(x)))),14.788572701439916,48.439995305195964,367.8463683146987,5.011494252873563,5.9,14.998475283301223,3.6048349531671894e-2
24,200,21,sin((sin(((x)+(x))+(abs(cos(x)))))+(abs(cos(x)))),14.788572701439916,23.31905988890162,36.507523282652265,5.122905027932961,7.0,14.788572701439913,1.262177448353619e-29
25,200,29,(sin(((x)+(x))+(abs(cos(x)))))+(abs(cos(x))),14.478099310788465,18.09970509280034,15.24568414987434,5.742690058479532,6.95,14.77304903190734,4.578701999373895e-3
26,200,34,(sin(((x)+(x))+(abs(cos(x)))))+(abs(cos(x))),14.478099310788465,16.06948022443154,6.4458700505135464,6.626506024096385,6.95,14.77304903190734,4.578701999373895e-3
27,200,28,(sin(((x)+(x))+(abs(cos(x)))))+(abs(cos(x))),14.478099310788465,17.898156212064585,13.894951917970864,6.604651162790698,6.85,14.742001692842194,1.2290200103582564e-2
28,200,30,(sin(((x)+(x))+(abs(cos(x)))))+(abs(cos(x))),14.478099310788465,16.68565955983756,10.276908282768684,6.788235294117647,6.45,14.617812336581625,2.385744725989555e-2
29,200,28,(sin(((x)+(x))+(abs(cos(x)))))+(abs(cos(x))),14.478099310788465,18.556598944658273,24.068614297713715,6.709302325581396,6.0,14.478099310788474,7.888609052210118e-29
30,200,29,(sin(((x)+(x))+(abs(cos(x)))))+(abs(cos(x))),14.478099310788465,16.44818772287153,7.945585112499506,6.415204678362573,6.0,14.478099310788474,7.888609052210118e-29
31,200,24,(sin(((x)+(x))+(abs(cos(x)))))+(abs(cos(x))),14.478099310788465,22.661227917551933,41.17397280505275,5.9147727272727275,6.0,14.478099310788474,7.888609052210118e-29
32,200,30,(sin(sin(((x)+(x))+(abs(cos(x))))))+(abs(cos(x))),14.150641744501385,21.137858767854155,30.472577100455776,5.7823529411764705,6.05,14.46172643247412,5.093351741636234e-3
33,200,33,(sin(sin(((x)+(x))+(abs(cos(x))))))+(abs(cos(x))),14.150641744501385,18.14202478237048,17.61682131834456,5.838323353293413,6.1,14.445353554159766,9.65056119467918e-3
34,200,31,(sin(sin(((x)+(x))+(abs(cos(x))))))+(abs(cos(x))),14.150641744501385,21.254195381469756,30.013296812573486,5.8579881656804735,6.25,14.396234919216704,2.010533582224829e-2
