generation,populationSize,invalidInds,localBest,localBestFit,fitnessAvg,fitnessStdDev,exprDepthAvg,top10PercExprDepthAvg,top10PercFitnessAvg,top10PercFitnessStdDev
0,200,120,(x)*(x),343.6550397009477,536.4353788056875,120.18317213886296,2.7875,4.0,478.602393666084,1504.3723136072822
1,200,56,(x)*(x),343.6550397009477,509.465455114135,69.42186339217574,2.798611111111111,4.25,448.9816020738247,1582.5892200789467
2,200,30,(x)*(x),343.6550397009477,485.4363379132661,46.18799781828438,3.5294117647058822,2.45,397.9113722524251,2182.5255342710084
3,200,26,(x)*(x),343.6550397009477,445.99984537942976,63.421693899998246,3.781609195402299,2.0,343.6550397009477,0.0
4,200,28,(x)*(x),343.6550397009477,401.8679383451241,66.46802513518342,2.796511627906977,2.0,343.6550397009477,0.0
5,200,24,(x)*(x),343.6550397009477,370.00441210376493,82.56905700107872,2.085227272727273,2.0,343.6550397009477,0.0
6,200,29,(x)*(x),343.6550397009477,372.79279060386415,92.97143262737688,2.1052631578947367,2.0,343.6550397009477,0.0
7,200,28,(x)*(x),343.6550397009477,361.6301516118314,79.628496285523,2.046511627906977,2.0,343.6550397009477,0.0
8,200,23,(x)*(x),343.6550397009477,377.4295929359661,118.71935488947481,2.1129943502824857,2.0,343.6550397009477,0.0
9,200,28,(x)*(x),343.6550397009477,365.3312927086894,110.04287545689863,2.011627906976744,2.0,343.6550397009477,0.0
10,200,26,(x)*(x),343.6550397009477,374.1747412300062,114.47636506082449,2.057471264367816,2.0,343.6550397009477,0.0
11,200,21,(x)*(x),343.6550397009477,380.1764969868221,138.38727947669355,2.1284916201117317,2.0,343.6550397009477,0.0
12,200,27,(x)*(x),343.6550397009477,367.5280503643992,110.7194401382303,2.0635838150289016,2.0,343.6550397009477,0.0
13,200,24,(x)*(x),343.6550397009477,363.85038874046325,76.40736644709105,2.0511363636363638,2.0,343.6550397009477,0.0
14,200,28,(x)*(tan(x)),278.55555555555554,360.7788291555822,92.50899095234169,2.0755813953488373,2.05,340.40006549367814,201.302284709818
15,200,25,(x)*(tan(x)),278.55555555555554,372.65977533910666,116.75749700966408,2.0742857142857143,2.1,337.1450912864085,381.41485523965514
16,200,25,(tan(x))*(x),278.55555555555554,374.92388155753457,118.09597773616088,2.182857142857143,2.15,333.8901170791389,540.3377115895115
17,200,29,(x)*(tan(x)),278.55555555555554,361.4620711860275,78.6775825326293,2.0994152046783627,2.3,324.1251944573301,889.9679955591953
18,200,24,(x)*(tan(x)),278.55555555555554,368.25844109536223,116.40810402017159,2.164772727272727,2.7,298.08540079917327,889.9679955591955
19,200,28,(x)*(tan(x)),278.55555555555554,358.93044796779134,134.569141376746,2.313953488372093,3.0,278.5555555555556,3.2311742677852644e-27
20,200,29,(tan(x))*(x),278.55555555555554,349.96283968363264,377.64512599808666,2.6491228070175437,3.0,278.5555555555556,3.2311742677852644e-27
21,200,28,(tan(x))*(x),278.55555555555554,369.951789230422,531.6130641940623,2.895348837209302,3.0,278.5555555555556,3.2311742677852644e-27
22,200,22,(tan(x))*(x),278.55555555555554,308.95611386155275,83.17214234647534,2.898876404494382,3.0,278.5555555555556,3.2311742677852644e-27
23,200,31,(tan(x))*(x),278.55555555555554,332.8757164279219,385.41773816434966,2.9585798816568047,3.0,278.5555555555556,3.2311742677852644e-27
24,200,27,(x)*(tan(x)),278.55555555555554,389.8547807962697,643.9038530639741,3.0115606936416186,3.0,278.5555555555556,3.2311742677852644e-27
25,200,22,(tan(x))*(x),278.55555555555554,392.77681800915764,634.8596768948577,3.050561797752809,3.0,278.5555555555556,3.2311742677852644e-27
26,200,28,(x)*(tan(x)),278.55555555555554,354.4623420713224,529.2736766963831,3.0290697674418605,3.0,278.5555555555556,3.2311742677852644e-27
27,200,18,(x)*(tan(x)),278.55555555555554,375.9037009846666,541.2571150883516,2.9395604395604398,3.0,278.5555555555556,3.2311742677852644e-27
28,200,29,(tan(x))*(x),278.55555555555554,308.95641063281755,87.85889961577908,3.0701754385964914,3.0,278.5555555555556,3.2311742677852644e-27
29,200,30,(tan(x))*(x),278.55555555555554,298.5908738334383,70.62492851803525,3.0470588235294116,3.0,278.5555555555556,3.2311742677852644e-27
30,200,27,(tan(x))*(x),278.55555555555554,385.46545011793523,643.6163143877866,3.052023121387283,3.0,278.5555555555556,3.2311742677852644e-27
31,200,20,(tan(x))*(x),278.55555555555554,392.1619660813673,632.8115499900281,3.066666666666667,3.0,278.5555555555556,3.2311742677852644e-27
32,200,23,(tan(x))*(x),278.55555555555554,340.3906971957084,380.4015716849067,2.9548022598870056,3.0,278.5555555555556,3.2311742677852644e-27
33,200,21,(tan(x))*(x),278.55555555555554,332.8469827851118,372.6078959666224,2.9720670391061454,3.0,278.5555555555556,3.2311742677852644e-27
34,200,23,(tan(x))*(x),278.55555555555554,336.9649649879996,385.630363943202,2.983050847457627,3.0,278.5555555555556,3.2311742677852644e-27
35,200,28,(tan(x))*(x),278.55555555555554,388.0055686427822,650.0633001931644,3.0290697674418605,3.0,278.5555555555556,3.2311742677852644e-27
36,200,29,(tan(x))*(x),278.55555555555554,369.2593192321049,541.7949901481903,3.0292397660818713,3.0,278.5555555555556,3.2311742677852644e-27
37,200,22,(tan(x))*(x),278.55555555555554,385.48341431806585,605.2685439949923,3.0112359550561796,3.0,278.5555555555556,3.2311742677852644e-27
38,200,20,(x)*(tan(x)),278.55555555555554,350.8917315651193,381.67002754579175,2.9722222222222223,3.0,278.5555555555556,3.2311742677852644e-27
39,200,25,(tan(x))*(x),278.55555555555554,371.12691864376063,536.155321373061,3.0685714285714285,3.0,278.5555555555556,3.2311742677852644e-27
40,200,24,(tan(x))*(x),278.55555555555554,321.43432230098256,139.44715988695637,3.0454545454545454,3.0,278.5555555555556,3.2311742677852644e-27
41,200,27,(x)*(tan(x)),278.55555555555554,397.3906803755251,649.2278110947611,3.052023121387283,3.0,278.5555555555556,3.2311742677852644e-27
42,200,27,(x)*(tan(x)),278.55555555555554,380.7637969523357,545.7977550804636,3.1040462427745665,3.0,278.5555555555556,3.2311742677852644e-27
43,200,23,(tan(x))*(x),278.55555555555554,388.69136364500724,637.1541242495833,2.943502824858757,3.0,278.5555555555556,3.2311742677852644e-27
44,200,29,(tan(x))*(x),278.55555555555554,336.60807684865637,390.6092786941486,2.9766081871345027,3.0,278.5555555555556,3.2311742677852644e-27
45,200,17,(x)*(tan(x)),278.55555555555554,339.62120473360795,371.55728076848516,3.0054644808743167,3.0,278.5555555555556,3.2311742677852644e-27
46,200,22,(tan(x))*(x),278.55555555555554,433.94178875851003,738.1914625017837,3.056179775280899,3.0,278.5555555555556,3.2311742677852644e-27
47,200,24,(x)*(tan(x)),278.55555555555554,363.44133820835157,525.6819392456524,3.090909090909091,3.0,278.5555555555556,3.2311742677852644e-27
48,200,26,(x)*(tan(x)),278.55555555555554,301.437607810928,104.67671816877349,2.9597701149425286,3.0,278.5555555555556,3.2311742677852644e-27
49,200,23,(abs((tan(x))*(x)))+(abs(x)),254.43525977878076,334.34378452076265,376.4024369714316,3.0451977401129944,3.1,277.34954076671687,27.63496174705722
50,200,26,(abs((tan(x))*(x)))+(abs(x)),254.43525977878076,328.50688002524674,377.7952617337931,3.074712643678161,3.1,277.34954076671687,27.63496174705722
51,200,32,(abs((tan(x))*(x)))+(abs(x)),254.43525977878076,357.8569459032252,536.5612558704343,3.142857142857143,3.7,270.1134520336845,132.3569220516951
52,200,30,(abs((tan(x))*(x)))+(abs(x)),254.43525977878076,330.5455824240136,389.96604933297203,3.2176470588235295,5.0,254.43525977878076,0.0
53,200,19,(abs((abs((tan(x))*(x)))+(abs(x))))+(abs(x)),235.84884617501928,376.0310251306515,617.0345364855468,3.613259668508287,5.1,253.50593909859268,16.40910160587928
54,200,23,(abs((abs((tan(x))*(x)))+(abs(x))))+(abs(x)),235.84884617501928,291.84869949154,90.95937433770922,4.299435028248587,5.3,251.6472977382165,44.04548325788648
55,200,31,((abs((tan(x))*(x)))+(abs(x)))+(abs(x)),234.84884617501928,336.06221310545004,536.1725604514913,4.8698224852071,6.35,241.3747702561478,73.15059424463172
56,200,29,((tan(x))*(x))+(abs(x)),201.33333333333331,266.00409353587304,60.3025682698294,5.228070175438597,6.7,233.54412638462412,56.668383078149546
57,200,27,((tan(x))*(x))+(abs((x)+(x))),135.1111111111111,282.48225753741286,107.45819746234393,5.734104046242774,6.55,225.21568739610098,524.7929856158746
58,200,24,((tan(x))*(x))+(abs((x)+(x))),135.1111111111111,258.9446385128215,82.2873427430615,6.431818181818182,6.7,200.0929242092856,1521.3138100691858
59,200,28,((tan(x))*(x))+(abs((x)+(x))),135.1111111111111,251.14593239204785,87.84381212719849,6.354651162790698,4.0,161.60000000000005,1052.4918518518525
60,200,28,((tan(x))*(x))+(abs((x)+(x))),135.1111111111111,232.29380678713426,96.0133892976516,5.976744186046512,4.0,135.11111111111114,3.2311742677852644e-27
61,200,29,((tan(x))*(x))+(abs((x)+(x))),135.1111111111111,197.95164710911538,98.48112544433278,4.941520467836257,4.0,135.11111111111114,3.2311742677852644e-27
62,200,19,((tan(x))*(x))+(abs((x)+(x))),135.1111111111111,196.73334841975543,227.61262339916357,4.0497237569060776,4.0,135.11111111111114,3.2311742677852644e-27
63,200,24,((tan(x))*(x))+(abs((x)+(x))),135.1111111111111,219.71076253721432,458.58189660785666,4.068181818181818,4.0,135.11111111111114,3.2311742677852644e-27
64,200,25,((tan(x))*(x))+(abs((x)+(x))),135.1111111111111,169.94159341096247,107.50243128658259,3.92,4.0,135.11111111111114,3.2311742677852644e-27
65,200,31,((tan(x))*(x))+(abs((x)+(x))),135.1111111111111,174.1617658851939,115.53293229880904,3.9881656804733727,4.0,135.11111111111114,3.2311742677852644e-27
66,200,28,(((tan(x))*(x))+(abs((x)+(x))))+(abs((x)+(x))),87.66666666666669,207.18755603554354,422.85340762392036,4.034883720930233,4.05,132.73888888888888,106.92132716049362
67,200,30,(((tan(x))*(x))+(abs((x)+(x))))+(abs((x)+(x))),87.66666666666669,179.95072950096724,135.20220718566455,3.9941176470588236,4.4,116.1333333333333,540.2340740740731
68,200,29,(((tan(x))*(x))+(abs((x)+(x))))+(abs((x)+(x))),87.66666666666669,229.00419398879268,579.9570528165438,4.076023391812866,5.0,87.66666666666671,8.077935669463161e-28
69,200,26,(((tan(x))*(x))+(abs((x)+(x))))+(abs((x)+(x))),87.66666666666669,155.11710904326898,114.65394639272905,4.32183908045977,5.0,87.66666666666671,8.077935669463161e-28
70,200,27,(((tan(x))*(x))+(abs((x)+(x))))+(abs((x)+(x))),87.66666666666669,141.33998638363187,122.18454933940691,4.670520231213873,5.0,87.66666666666671,8.077935669463161e-28
71,200,29,(((tan(x))*(x))+(abs((x)+(x))))+(abs((x)+(x))),87.66666666666669,128.27627730639003,116.55779783653516,4.900584795321637,5.0,87.66666666666671,8.077935669463161e-28
72,200,25,(((tan(x))*(x))+(abs((x)+(x))))+(abs((x)+(x))),87.66666666666669,177.98261121686969,426.7986915329268,4.908571428571428,5.0,87.66666666666671,8.077935669463161e-28
73,200,26,(((tan(x))*(x))+(abs((x)+(x))))+(abs((x)+(x))),87.66666666666669,139.70966468619457,186.98695560117767,4.885057471264368,5.0,87.66666666666671,8.077935669463161e-28
74,200,26,(((tan(x))*(x))+(abs((x)+(x))))+(abs((x)+(x))),87.66666666666669,159.18728589156132,452.123743345758,4.896551724137931,5.0,87.66666666666671,8.077935669463161e-28
75,200,33,(((tan(x))*(x))+(abs((x)+(x))))+(abs((x)+(x))),87.66666666666669,130.60366024759776,126.11148913696694,4.916167664670659,5.0,87.66666666666671,8.077935669463161e-28
76,200,30,(((tan(x))*(x))+(abs((x)+(x))))+(abs((x)+(x))),87.66666666666669,548.2718026097365,5425.969926389251,4.776470588235294,5.0,87.66666666666671,8.077935669463161e-28
77,200,23,(((tan(x))*(x))+(abs((x)+(x))))+(abs((x)+(x))),87.66666666666669,146.05874499247642,166.66045466039364,4.785310734463277,5.0,87.66666666666671,8.077935669463161e-28
78,200,25,(((tan(x))*(x))+(abs((x)+(x))))+(abs((x)+(x))),87.66666666666669,132.67962507726682,125.89398603857796,4.851428571428571,5.0,87.66666666666671,8.077935669463161e-28
79,200,28,(((tan(x))*(x))+(abs((x)+(x))))+(abs((x)+(x))),87.66666666666669,132.84075860705858,132.19750935785785,4.912790697674419,5.0,87.66666666666671,8.077935669463161e-28
