generation,populationSize,invalidInds,localBest,localBestInd,localBestFit,fitnessAvg,fitnessStdDev,genomeSizeAvg,effectiveGenomeSizeAvg,top10PercEffectiveGenomeSizeAvg,top10PercFitnessAvg,top10PercFitnessStdDev
0,200,86,(x)*(x),"[71,69,206,111,99,221,160,151,239,48,4,57,202,151,129,96,183,38,24,157,216,114,112,136,47,180,123,46,140,212,69,249,184,253,178,118,153,188,43,12,209,119,18,193,100,6,186,106,120,126,154,199,12,132,197,221,239,43,111,133,84,42,239,27,209,180,3,202,221,153,60,159,37,101,12,205,247,34,54,189,25,226,178,242,128,225,146,113,169,51,198,219,225,231,165,46,96,152,204,67,164,214,141,100,227,0,53,153,133,68,121,128,72,177,23,45,131,44,189,120]",461.6550397009477,626.8623072024978,45.593463008740365,120.0,3.675438596491228,6.1,570.0698320590612,3142.120390333175
1,200,29,(x)*(x),"[71,69,206,111,99,221,160,151,239,48,4,57,202,151,129,96,183,38,24,157,216,114,112,136,47,180,123,46,140,212,69,249,184,253,178,118,153,188,43,12,209,119,18,193,100,6,186,106,120,126,154,199,12,132,197,221,239,43,111,133,84,42,239,27,209,180,3,202,221,153,60,159,37,101,12,205,247,34,54,189,25,226,178,242,128,225,146,113,169,51,198,219,225,231,165,46,96,152,204,67,164,214,141,100,227,0,53,153,133,68,121,128,72,177,23,45,131,173,13,181]",461.6550397009477,608.446078181976,43.06206023105314,116.56140350877193,3.374269005847953,5.2,515.2065063243617,2135.2980791445307
2,200,11,(x)*(x),"[14,129]",343.6550397009477,575.9740091464853,59.75080030580564,113.32804232804233,4.4338624338624335,4.0,455.7550397009476,661.3900000000001
3,200,18,(x)*(x),"[14,129]",343.6550397009477,518.9443205590953,73.27384932354279,109.95054945054945,4.708791208791209,3.85,429.0457302315447,2344.7051191001583
4,200,27,(x)*(x),"[14,129]",343.6550397009477,474.77047541295366,71.24046896969041,90.11560693641619,3.953757225433526,4.6,354.2534603657479,642.3364408757659
5,200,31,(x)*(x),"[14,129]",343.6550397009477,443.543578908104,109.28240594053908,55.44378698224852,4.153846153846154,4.0,344.4050397009477,1.3875
6,200,31,(x)*(x),"[14,129]",343.6550397009477,397.8557288951434,99.42532167556374,31.644970414201183,4.331360946745562,4.0,343.6550397009477,0.0
7,200,32,(x)*(x),"[14,129]",343.6550397009477,381.0770287534154,91.86210353157257,19.88095238095238,3.9464285714285716,4.0,343.6550397009477,0.0
8,200,14,(x)*(x),"[14,129]",343.6550397009477,381.2459255605556,95.55467745965686,18.06451612903226,3.8440860215053765,4.0,343.6550397009477,0.0
9,200,19,(x)*(x),"[14,129]",343.6550397009477,379.2447539727879,94.52488911031556,15.718232044198896,3.834254143646409,4.0,343.6550397009477,0.0
10,200,10,(x)*(x),"[44,129]",343.6550397009477,386.59192160134944,104.82417199383198,18.147368421052633,3.836842105263158,4.0,343.6550397009477,0.0
11,200,22,(x)*(x),"[56,99]",343.6550397009477,370.2486026567877,79.61854566682764,12.606741573033707,4.134831460674158,4.0,343.6550397009477,0.0
12,200,19,(x)*(x),"[14,129]",343.6550397009477,761.4220680892342,5230.559237091462,13.734806629834255,3.845303867403315,4.0,343.6550397009477,0.0
13,200,15,(x)*(x),"[44,129]",343.6550397009477,378.7887333560832,93.5836757437978,16.67027027027027,3.9783783783783786,4.0,343.6550397009477,0.0
14,200,15,(x)*(x),"[14,129]",343.6550397009477,375.85065098424934,90.12939120274625,15.394594594594595,3.8378378378378377,4.0,343.6550397009477,0.0
15,200,20,(x)*(x),"[14,129]",343.6550397009477,375.75447068347245,89.14558048929736,14.455555555555556,4.022222222222222,4.0,343.6550397009477,0.0
16,200,13,(x)*(x),"[14,129]",343.6550397009477,768.3267936048426,5154.96443704878,15.882352941176471,4.101604278074866,4.0,343.6550397009477,0.0
17,200,18,(x)*(x),"[44,99]",343.6550397009477,374.5205021405335,89.89057107928332,14.31868131868132,3.9395604395604398,4.0,343.6550397009477,0.0
18,200,19,(x)*(x),"[14,129]",343.6550397009477,374.2751308715751,87.66917465072704,14.386740331491712,4.044198895027624,4.0,343.6550397009477,0.0
19,200,18,(x)*(x),"[44,129]",343.6550397009477,378.453494631244,92.01993611112904,15.626373626373626,3.7637362637362637,4.0,343.6550397009477,0.0
20,200,19,(x)*(x),"[44,99]",343.6550397009477,383.6024171036008,96.6706968357254,17.65745856353591,3.8011049723756907,4.0,343.6550397009477,0.0
21,200,20,(x)*(x),"[14,129]",343.6550397009477,372.597209737313,84.63376616668451,14.455555555555556,3.8555555555555556,4.0,343.6550397009477,0.0
22,200,15,(x)*(x),"[14,129]",343.6550397009477,376.7607071028322,89.46475174537903,15.394594594594595,3.8162162162162163,4.0,343.6550397009477,0.0
23,200,14,(x)*(x),"[14,129]",343.6550397009477,380.31393777999654,128.6797483020203,15.32258064516129,3.9838709677419355,4.0,343.6550397009477,0.0
24,200,20,(x)*(x),"[14,129]",343.6550397009477,379.8959767317267,93.66667063515523,17.07777777777778,3.7888888888888888,4.0,343.6550397009477,0.0
25,200,18,(x)*(x),"[14,129]",343.6550397009477,377.4987638105229,91.95304845680103,15.615384615384615,3.7472527472527473,4.0,343.6550397009477,0.0
26,200,17,(x)*(x),"[44,9]",343.6550397009477,376.384630770773,89.78586072186073,16.185792349726775,4.016393442622951,4.0,343.6550397009477,0.0
27,200,19,(x)*(x),"[14,129]",343.6550397009477,375.46215989645475,88.73648930739559,15.69060773480663,3.7900552486187844,4.0,343.6550397009477,0.0
28,200,20,(x)*(x),"[14,180]",343.6550397009477,370.2813899201779,82.60052814126954,13.144444444444444,3.761111111111111,4.0,343.6550397009477,0.0
29,200,16,(x)*(x),"[14,129]",343.6550397009477,379.7251773219388,93.90293547169979,16.108695652173914,3.9184782608695654,4.0,343.6550397009477,0.0
30,200,15,(x)*(x),"[14,129]",343.6550397009477,375.2716274314061,88.9695236354162,14.756756756756756,3.902702702702703,4.0,343.6550397009477,0.0
31,200,22,(x)*(x),"[44,129]",343.6550397009477,371.7539444285848,82.8281007889294,13.269662921348315,3.8820224719101124,4.0,343.6550397009477,0.0
32,200,21,(x)*(x),"[44,9]",343.6550397009477,368.97807261838204,79.85077040350316,11.888268156424582,3.9553072625698324,4.0,343.6550397009477,0.0
33,200,15,(x)*(x),"[14,129]",343.6550397009477,381.3799035971057,94.71198668366925,16.67027027027027,3.8756756756756756,4.0,343.6550397009477,0.0
34,200,25,(x)*(x),"[14,129]",343.6550397009477,769.2110796992697,5336.957247199811,10.09142857142857,3.96,4.0,343.6550397009477,0.0
35,200,17,(x)*(x),"[44,129]",343.6550397009477,376.89980037619756,88.7110322886616,15.540983606557377,4.016393442622951,4.0,343.6550397009477,0.0
36,200,17,(x)*(x),"[14,129]",343.6550397009477,377.27577141429697,91.35832802249678,15.540983606557377,3.7814207650273226,4.0,343.6550397009477,0.0
37,200,13,(x)*(x),"[128,129]",343.6550397009477,382.9281479241044,96.73877998638608,18.406417112299465,4.197860962566845,4.0,343.6550397009477,0.0
38,200,14,(x)*(x),"[14,129]",343.6550397009477,384.9067635486113,98.95182593580162,18.49462365591398,3.9623655913978495,4.0,343.6550397009477,0.0
39,200,22,(x)*(x),"[44,129]",343.6550397009477,381.75630244758025,95.36890206759136,16.584269662921347,3.8258426966292136,4.0,343.6550397009477,0.0
40,200,24,(x)*(x),"[44,129]",343.6550397009477,378.4583204135661,91.31908429720082,14.738636363636363,3.8068181818181817,4.0,343.6550397009477,0.0
41,200,13,(x)*(x),"[14,129]",343.6550397009477,376.88504595797,89.82191917826586,15.882352941176471,4.144385026737968,4.0,343.6550397009477,0.0
42,200,18,(x)*(x),"[44,129]",343.6550397009477,766.2933772696201,5209.603473028797,16.912087912087912,3.9945054945054945,4.0,343.6550397009477,0.0
43,200,22,(x)*(x),"[14,129]",343.6550397009477,371.09703683501607,81.30641601354094,13.9438202247191,3.792134831460674,4.0,343.6550397009477,0.0
44,200,17,(x)*(x),"[44,129]",343.6550397009477,381.04333683613476,99.38036278362264,16.21311475409836,4.251366120218579,4.0,343.6550397009477,0.0
45,200,15,(x)*(x),"[14,129]",343.6550397009477,380.7730915889646,121.56721214906634,16.032432432432433,4.102702702702703,4.0,343.6550397009477,0.0
46,200,17,(x)*(x),"[14,129]",343.6550397009477,377.0497017922382,91.78607122877985,14.896174863387978,4.131147540983607,4.0,343.6550397009477,0.0
47,200,14,(x)*(x),"[44,78]",343.6550397009477,381.05397122608656,102.59779268423894,16.591397849462364,4.236559139784946,4.0,343.6550397009477,0.0
48,200,13,(x)*(x),"[44,129]",343.6550397009477,375.45685424409123,86.93104477721094,15.882352941176471,4.0588235294117645,4.0,343.6550397009477,0.0
49,200,23,(x)*(x),"[14,129]",343.6550397009477,378.18675304058576,95.99898939728236,15.333333333333334,4.0790960451977405,4.0,343.6550397009477,0.0
50,200,16,(x)*(x),"[44,102]",343.6550397009477,371.23619924458944,83.90988334678958,13.543478260869565,3.9782608695652173,4.0,343.6550397009477,0.0
51,200,25,(x)*(x),"[14,180]",343.6550397009477,368.8284889564363,79.0538164267202,11.44,3.8971428571428572,4.0,343.6550397009477,0.0
52,200,13,(x)*(x),"[14,129]",343.6550397009477,384.1777215326235,100.2967170267542,16.513368983957218,3.7593582887700534,4.0,343.6550397009477,0.0
53,200,21,(x)*(x),"[14,129]",343.6550397009477,372.0739918363601,85.01034742639051,13.865921787709498,3.9608938547486034,4.0,343.6550397009477,0.0
54,200,19,(x)*(x),"[44,129]",343.6550397009477,373.2128967215602,84.70327592234833,13.734806629834255,4.044198895027624,4.0,343.6550397009477,0.0
55,200,17,(x)*(x),"[14,225]",343.6550397009477,414.32860951072234,404.0843786035329,18.775956284153004,4.147540983606557,4.0,343.6550397009477,0.0
56,200,19,(x)*(x),"[14,222]",343.6550397009477,375.19030537680237,87.97361641314065,14.386740331491712,3.9668508287292816,4.0,343.6550397009477,0.0
57,200,18,(x)*(x),"[14,36]",343.6550397009477,376.0336533706845,89.79331320227183,15.615384615384615,3.857142857142857,4.0,343.6550397009477,0.0
58,200,19,(x)*(x),"[14,180]",343.6550397009477,375.6385938784491,95.50196699213984,14.386740331491712,4.027624309392265,4.0,343.6550397009477,0.0
59,200,18,(x)*(x),"[44,129]",343.6550397009477,374.60333297494606,90.53870570389756,14.31868131868132,3.923076923076923,4.0,343.6550397009477,0.0
60,200,18,(x)*(x),"[44,129]",343.6550397009477,373.3681331399035,87.03718219864653,14.31868131868132,3.868131868131868,4.0,343.6550397009477,0.0
61,200,16,(x)*(x),"[44,129]",343.6550397009477,375.12537775213235,87.03233643840761,15.467391304347826,3.907608695652174,4.0,343.6550397009477,0.0
