generation,populationSize,invalidInds,localBest,localBestFit,fitnessAvg,fitnessStdDev,exprDepthAvg,top10PercExprDepthAvg,top10PercFitnessAvg,top10PercFitnessStdDev
0,200,136,(x)-(x),90.44827180402466,2228.430406480129,9767.954389490747,3.0,3.25,165.26479264566805,1699.6653412490589
1,200,70,(x)-(x),90.44827180402466,726.5918121346224,1079.0244722799082,3.269230769230769,3.8,102.32089233390353,437.14808506721766
2,200,29,(x)-(x),90.44827180402466,269.8059219625656,389.90084791234966,3.6666666666666665,2.6,90.45427180402467,2.4000000000024554e-5
3,200,27,(x)-(x),90.44827180402466,173.22553874998772,266.5936438991017,3.421965317919075,2.0,90.44827180402466,0.0
4,200,29,(x)-(x),90.44827180402466,912.1439482570872,9855.449733103578,2.754385964912281,2.0,90.44827180402466,0.0
5,200,28,(x)-(x),90.44827180402466,168.88885946073626,338.4285390327783,2.3488372093023258,2.0,90.44827180402466,0.0
6,200,24,(x)-(x),90.44827180402466,288.42293101904795,998.8210926467167,2.2443181818181817,2.0,90.44827180402466,0.0
7,200,22,(x)-(x),90.44827180402466,182.73416610004335,270.352584072741,2.101123595505618,2.0,90.44827180402466,0.0
8,200,24,(x)-(x),90.44827180402466,200.153197190871,642.1339930106662,2.0681818181818183,2.0,90.44827180402466,0.0
9,200,24,(x)-(x),90.44827180402466,419.5592598039499,2662.9939017055453,2.0568181818181817,2.0,90.44827180402466,0.0
10,200,28,(x)-(x),90.44827180402466,186.42555859391305,302.77688132555943,2.052325581395349,2.0,90.44827180402466,0.0
11,200,28,(x)-(x),90.44827180402466,194.4035061177646,388.33294680675084,2.0406976744186047,2.0,90.44827180402466,0.0
12,200,25,(x)-(x),90.44827180402466,155.43881006522415,244.6375341939941,2.1085714285714285,2.0,90.44827180402466,0.0
13,200,29,(x)-(x),90.44827180402466,156.93108639983592,270.5573273317122,2.08187134502924,2.0,90.44827180402466,0.0
14,200,28,(x)-(x),90.44827180402466,569.8833611241486,4615.219481589067,2.0872093023255816,2.0,90.44827180402466,0.0
15,200,26,(x)-(x),90.44827180402466,169.16281698642962,369.0878242613714,2.0689655172413794,2.0,90.44827180402466,0.0
16,200,27,(x)-(x),90.44827180402466,193.38157191448704,420.67048744381935,2.086705202312139,2.0,90.44827180402466,0.0
17,200,22,(x)-(x),90.44827180402466,168.38321728354194,271.76704017650104,2.134831460674157,2.0,90.44827180402466,0.0
18,200,24,(x)-(x),90.44827180402466,161.62154969098972,251.23775462356943,2.0170454545454546,2.0,90.44827180402466,0.0
19,200,28,(x)-(x),90.44827180402466,207.75807147741043,693.7942783238168,2.0697674418604652,2.0,90.44827180402466,0.0
20,200,30,(x)-(x),90.44827180402466,161.28308846920112,404.3787647444441,2.0294117647058822,2.0,90.44827180402466,0.0
21,200,29,(x)-(x),90.44827180402466,157.65216111918326,245.1587330615215,2.0409356725146197,2.0,90.44827180402466,0.0
22,200,27,(x)-(x),90.44827180402466,166.76748866434608,270.0959772551583,2.040462427745665,2.0,90.44827180402466,0.0
23,200,25,(x)-(x),90.44827180402466,314.57786133873543,1171.108022090479,2.1142857142857143,2.0,90.44827180402466,0.0
24,200,18,(x)-(x),90.44827180402466,253.14511500485213,554.3828677387959,2.159340659340659,2.0,90.44827180402466,0.0
25,200,22,(x)-(x),90.44827180402466,212.49640584778976,447.49909304745,2.067415730337079,2.0,90.44827180402466,0.0
26,200,24,(x)-(x),90.44827180402466,282.7648870782724,1391.3013626326865,2.0681818181818183,2.0,90.44827180402466,0.0
27,200,29,(x)-(x),90.44827180402466,210.86341402435184,453.59582572675697,2.1228070175438596,2.0,90.44827180402466,0.0
28,200,24,(x)-(x),90.44827180402466,282.9515720829114,1309.1752465379745,2.1193181818181817,2.0,90.44827180402466,0.0
29,200,31,(x)-(x),90.44827180402466,247.66330288694317,1269.8251688704877,2.0236686390532546,2.0,90.44827180402466,0.0
30,200,27,(x)-(x),90.44827180402466,649.5412892545259,6003.913824569395,2.052023121387283,2.0,90.44827180402466,0.0
31,200,30,(x)-(x),90.44827180402466,136.3131341854515,185.45505558011024,2.023529411764706,2.0,90.44827180402466,0.0
32,200,23,(x)-(x),90.44827180402466,241.45028939369706,747.7944448118088,2.175141242937853,2.0,90.44827180402466,0.0
33,200,24,(x)-(x),90.44827180402466,162.32601724176456,248.8978739599766,1.9943181818181819,2.0,90.44827180402466,0.0
34,200,20,(x)-(x),90.44827180402466,177.56969243322504,251.0103506766656,2.15,2.0,90.44827180402466,0.0
35,200,22,(x)-(x),90.44827180402466,200.60772410833007,378.7601107377262,2.151685393258427,2.0,90.44827180402466,0.0
36,200,25,(x)-(x),90.44827180402466,179.93929597743661,304.30273127287575,2.0914285714285716,2.0,90.44827180402466,0.0
37,200,30,(x)-(x),90.44827180402466,198.6473716634325,401.50091401673956,2.052941176470588,2.0,90.44827180402466,0.0
38,200,31,(x)-(x),90.44827180402466,167.24329920094115,283.5972364036267,2.0828402366863905,2.0,90.44827180402466,0.0
39,200,26,(x)-(x),90.44827180402466,242.82045950613028,945.6612642231155,2.0402298850574714,2.0,90.44827180402466,0.0
40,200,26,(x)-(x),90.44827180402466,174.04705029864542,313.4584169438965,2.1206896551724137,2.0,90.44827180402466,0.0
41,200,21,(x)-(x),90.44827180402466,202.34181941546896,342.8082166834716,2.1396648044692737,2.0,90.44827180402466,0.0
