generation,populationSize,invalidInds,localBest,localBestInd,localBestFit,fitnessAvg,fitnessStdDev,genomeSizeAvg,effectiveGenomeSizeAvg,top10PercEffectiveGenomeSizeAvg,top10PercFitnessAvg,top10PercFitnessStdDev
0,200,79,(tan(x))*((x)-(sin((tan(tan(cos(x))))*(x)))),"[167,154,69,153,230,143,3,223,10,27,41,157,14,139,184,220,48,30,194,111,233,185,18,193,18,236,107,7,146,119,147,78,67,23,29,155,104,254,228,95,29,56,58,86,57,217,71,115,52,127,89,230,112,167,152,46,130,179,52,208,155,149,106,107,205,31,237,243,34,188,210,140,4,88,172,159,179,136,67,133,41,93,186,236,101,206,111,175,186,122,129,179,5,125,249,14,104,12,178,68,219,73,38,79,40,42,76,191,13,76,208,134,82,10,15,131,73,211,1,118]",391.05187414471794,628.3737825808929,83.03274390088356,120.0,3.834710743801653,6.6,552.8385311816728,5930.093426658264
1,200,24,(tan(x))*((x)-(sin((tan(tan(cos(x))))*(x)))),"[167,154,69,153,230,143,3,223,10,27,41,157,14,139,184,220,48,30,194,111,233,185,18,193,90,53,224,25,0,140,215,12,4,148,245,37,127,203,42,50,47,127,36,245,188,57,61,30,139,69,117,89,119,62,204,129,69,16,195,150,215,57,14,112,87,243,4,68,45,137,159,39,138,223,243,48,129,183,178,157,240,128,144,117,248,212,170,117,50,134,42,154,166,135,95,60,248,188,156,13,178,72,209,201,193,87,195,25,102,58,116,144,151,95,9,83,182,15,242,76]",391.05187414471794,598.8388924132564,64.70968582713537,114.04545454545455,3.875,7.6,451.0086256388034,5538.577213598294
2,200,17,(tan(x))*((x)-(sin((tan(tan(cos(x))))*(x)))),"[167,154,69,153,230,143,3,223,10,27,41,157,14,139,184,220,48,30,194,111,233,185,18,193,18,236,107,7,146,119,147,78,67,23,29,155,104,254,228,95,29,56,58,86,57,217,71,115,52,127,89,230,112,167,152,46,130,179,52,208,155,149,106,107,205,31,237,243,34,188,210,140,4,88,172,159,179,136,67,133,41,93,186,236,101,206,111,175,186,122,129,179,5,125,249,14,104,12,178,68,219,73,38,79,40,42,76,191,13,76,208,134,82,10,15,131,73,211,1,118]",391.05187414471794,622.2391123685009,994.4969530253444,113.09836065573771,5.0,12.1,393.9792670617623,4.614415771948745
3,200,21,(x)*(tan(x)),"[188,255,248,184,154,186,47]",282.55555555555554,495.65071767315294,96.044073522762,112.49720670391062,6.726256983240224,16.7,386.52779449742724,572.1618899650872
4,200,20,(x)*(tan(x)),"[188,255,248,184,154,186,47]",282.55555555555554,441.41482744999706,118.25229618929816,106.81111111111112,9.805555555555555,12.7,334.19587044578554,2670.11185772464
5,200,26,(x)*(tan(x)),"[188,255,248,184,154,186,47]",282.55555555555554,409.02720159782143,94.44974564135597,98.27011494252874,12.718390804597702,6.7,283.73037148501373,12.928810869235011
6,200,37,(x)*(tan(x)),"[167,255,248,184,154,186,47]",282.55555555555554,414.14664361746117,146.9798677452743,76.45398773006134,11.846625766871165,6.0,282.5555555555556,3.2311742677852644e-27
7,200,40,(x)*(tan(x)),"[188,255,248,184,154,186,47]",282.55555555555554,396.68695240161367,177.50122162163188,42.93125,7.875,6.0,282.5555555555556,3.2311742677852644e-27
8,200,27,(x)*(tan(x)),"[167,255,248,184,154,186,47]",282.55555555555554,345.6236190714748,127.13997658368515,28.057803468208093,6.057803468208093,6.0,282.5555555555556,3.2311742677852644e-27
9,200,31,(tan(x))*(x),"[167,154,69,153,230,186,47]",282.55555555555554,334.9978009013079,124.02333901904518,21.71005917159763,5.5325443786982245,6.0,282.5555555555556,3.2311742677852644e-27
