generation,populationSize,invalidInds,localBest,localBestFit,fitnessAvg,fitnessStdDev,exprDepthAvg,top10PercExprDepthAvg,top10PercFitnessAvg,top10PercFitnessStdDev
0,200,142,cos(x),24.244859776630253,64.66760974076574,52.84565471829267,2.8448275862068964,4.2,34.06487604588583,50.24487516416619
1,200,54,cos(x),24.244859776630253,52.93948115696978,41.990094540427094,3.171232876712329,4.7,27.04607733845442,4.553705419855021
2,200,26,cos(x),24.244859776630253,41.74795094977624,34.39590919718635,3.8735632183908044,2.7,24.251859776630265,9.099999999999617e-5
3,200,19,cos(x),24.244859776630253,31.584860373726467,15.284107663554105,4.0497237569060776,2.0,24.244859776630264,1.135959703518257e-28
4,200,23,cos(x),24.244859776630253,28.427411087129833,15.37769264819168,3.0395480225988702,2.0,24.244859776630264,1.135959703518257e-28
5,200,25,cos(x),24.244859776630253,26.927413898358257,12.291213092172518,2.3485714285714288,2.0,24.244859776630264,1.135959703518257e-28
6,200,28,sin((x)+(x)),22.283374275227192,27.872247470989382,18.308149508714934,2.3488372093023258,2.05,24.14678550156011,0.18275270518018485
7,200,27,sin((x)+(x)),22.283374275227192,26.632103429983733,12.889310116982848,2.0751445086705202,2.25,23.754488401279488,0.7213922572902033
8,200,24,sin((x)+(x)),22.283374275227192,28.20969637155008,19.637346995466988,2.352272727272727,2.85,22.577597100437647,0.49054673495733797
9,200,22,sin((x)+(x)),22.283374275227192,27.261288839436464,20.601758048317723,2.5112359550561796,3.0,22.28337427522719,1.262177448353619e-29
10,200,22,sin((x)+(x)),22.283374275227192,29.418644140815882,33.39615649444514,2.853932584269663,3.0,22.28337427522719,1.262177448353619e-29
11,200,24,sin((tan(cos(tan(abs((sin(sin(x)))%(cos(abs(x))))))))+(x)),21.708785041204994,25.51821861570879,11.25293515621007,2.9431818181818183,3.35,22.254644813526077,1.56822574230753e-2
12,200,22,sin((tan(cos(tan(abs((sin(sin(x)))%(cos(abs(x))))))))+(x)),21.708785041204994,26.01022240111022,19.775336593904175,3.0168539325842696,3.35,22.254644813526077,1.56822574230753e-2
13,200,30,tan(cos((sin(cos(x)))-(((x)-(x))-(-(x))))),9.638581471351303,24.479199786204052,12.225594560015649,3.1470588235294117,3.5,21.622405173332286,7.574166738380528
14,200,27,tan(cos((sin(cos(x)))-(((x)-(x))-(-(x))))),9.638581471351303,24.32179123107436,9.035772924641236,3.3179190751445087,5.55,20.21427858443915,19.80150661666134
15,200,22,tan(cos((sin(cos(x)))-(((x)-(x))-(-(x))))),9.638581471351303,26.24691763614463,17.760017517976348,3.662921348314607,8.8,18.047504804536466,30.33432291970512
16,200,25,tan(cos((sin(cos(x)))-(((x)-(x))-(-(x))))),9.638581471351303,24.167790294504023,15.633382319639967,5.062857142857143,6.2,10.201872484131561,6.028638536501197
